evento_id;fecha_inicio;fecha_fin;Qmax_evento;Qmed_evento;volumen_total;duracion_dias;Qbase;ratio_Qmax_Qbase
139;1999-08-08;1999-08-08;1.723;1.723;1.723;1;0.1187142857142857;14.51383874849579
140;1999-09-19;1999-09-30;31.433;8.38875;100.665;12;0.03885714285714286;808.9374999999999
141;1999-10-12;1999-10-13;5.319;5.1355;10.271;2;1.075;4.947906976744187
142;1999-10-18;1999-10-18;4.952;4.952;4.952;1;3.3289999999999997;1.4875337939321118
143;1999-10-20;1999-10-31;107.775;35.61808333333334;427.41700000000003;12;3.6997142857142853;29.130627847710254
144;2000-04-02;2000-04-03;20.667;16.1885;32.377;2;0.8101428571428572;25.510315640980426
145;2000-04-09;2000-04-09;11.176;11.176;11.176;1;8.333285714285713;1.3411276635866491
146;2000-04-14;2000-04-16;42.144;24.662333333333333;73.987;3;6.020428571428572;7.000166101131859
147;2000-04-21;2000-04-23;27.54;17.605;52.815;3;15.500428571428573;1.7767250675096538
148;2000-05-02;2000-05-02;7.236;7.236;7.236;1;6.304857142857142;1.1476865908369964
149;2000-05-04;2000-05-08;13.565;11.416599999999999;57.083;5;5.761571428571428;2.3543924028662815
150;2000-11-29;2000-12-11;146.63;23.328461538461536;303.27;13;4.573999999999999;32.057280279842594
151;2000-12-24;2000-12-25;12.946;10.5415;21.083;2;3.0157142857142856;4.292846991946945
152;2001-01-01;2001-01-14;125.448;39.09314285714286;547.304;14;5.506714285714286;22.780916802864034
153;2001-01-24;2001-01-25;25.717;25.2825;50.565;2;4.634285714285714;5.549290998766954
154;2001-02-06;2001-02-11;41.023;21.42;128.52;6;4.842714285714286;8.47107584294522
155;2001-03-02;2001-03-12;135.788;49.652545454545454;546.178;11;4.242571428571428;32.00606101420972
156;2001-10-06;2001-10-06;5.319;5.319;5.319;1;0.3014285714285715;17.64597156398104
157;2001-10-12;2001-10-13;8.137;6.5445;13.089;2;1.9968571428571429;4.074903419659465
158;2001-10-18;2001-10-25;41.023;19.802625;158.421;8;3.6464285714285714;11.250186092066603
159;2002-01-03;2002-01-03;32.39;32.39;32.39;1;1.4348571428571428;22.573675826364
160;2002-01-23;2002-01-24;21.453;14.5695;29.139;2;2.0524285714285715;10.452495301733137
161;2002-03-12;2002-03-27;35.502;16.9115625;270.585;16;3.102285714285714;11.443820224719104
162;2002-09-17;2002-09-30;68.753;13.207071428571428;184.899;14;0.21057142857142858;326.5067842605156
163;2002-10-02;2002-10-02;4.669;4.669;4.669;1;3.9778571428571428;1.1737475309750403
164;2002-10-08;2002-10-10;6.052;5.346666666666667;16.04;3;3.787714285714285;1.5977973900580829
165;2002-10-16;2002-10-18;14.183;8.64;25.92;3;4.183571428571428;3.390165613795459
166;2002-10-20;2002-10-31;45.758;11.789666666666667;141.476;12;5.716285714285715;8.004848303093917
167;2002-11-13;2002-11-17;10.107;8.9812;44.906;5;2.570285714285714;3.932247665629169
168;2002-11-19;2002-12-04;50.745;20.68375;330.94;16;7.889571428571428;6.431908305720028
169;2002-12-10;2003-01-30;214.889;25.686365384615385;1335.691;52;6.257;34.343774972031326
170;2003-02-25;2003-03-08;39.902;14.12375;169.48499999999999;12;5.192857142857142;7.684016506189822
171;2003-03-27;2003-03-28;44.554;28.441000000000003;56.882000000000005;2;5.2139999999999995;8.545070962792483
172;2003-03-30;2003-04-04;34.465;15.7505;94.503;6;12.106142857142856;2.846901808998974
173;2003-04-14;2003-04-20;20.667;13.719857142857142;96.039;7;7.300142857142858;2.831040488444453
